R,G,B
0.0,31.0,30.0
0.0,31.0,30.0
0.0,33.0,31.0
2.0,36.0,35.0
2.0,36.0,35.0
2.0,40.0,38.0
2.0,42.0,36.0
0.0,41.0,33.0
0.0,37.0,30.0
0.0,35.0,28.0
1.0,35.0,29.0
0.0,35.0,29.0
0.0,34.0,29.0
1.0,36.0,30.0
0.0,37.0,30.0
0.0,36.0,29.0
0.0,37.0,30.0
0.0,35.0,29.0
0.0,35.0,28.0
0.0,34.0,30.0
0.0,35.0,31.0
0.0,35.0,31.0
1.0,37.0,32.0
1.0,38.0,34.0
0.0,39.0,34.0
0.0,37.0,32.0
0.0,36.0,32.0
0.0,36.0,32.0
0.0,35.0,31.0
0.0,36.0,32.0
0.0,35.0,32.0
0.0,35.0,31.0
0.0,36.0,32.0
1.0,37.0,33.0
1.0,36.0,33.0
0.0,36.0,32.0
0.0,35.0,31.0
0.0,35.0,32.0
0.0,35.0,32.0
0.0,37.0,29.0
0.0,38.0,34.0
0.0,37.0,33.0
0.0,37.0,32.0
0.0,36.0,32.0
0.0,38.0,33.0
1.0,40.0,35.0
0.0,40.0,34.0
2.0,42.0,39.0
0.0,44.0,36.0
0.0,44.0,34.0
1.0,42.0,33.0
1.0,40.0,32.0
1.0,40.0,32.0
0.0,37.0,29.0
0.0,39.0,31.0
1.0,40.0,32.0
0.0,40.0,32.0
2.0,41.0,33.0
3.0,40.0,32.0
1.0,38.0,31.0
2.0,39.0,32.0
1.0,37.0,32.0
0.0,36.0,32.0
1.0,37.0,33.0
1.0,37.0,34.0
0.0,36.0,33.0
0.0,36.0,33.0
0.0,36.0,31.0
0.0,36.0,31.0
1.0,37.0,33.0
0.0,35.0,31.0
0.0,35.0,32.0
0.0,35.0,34.0
1.0,37.0,35.0
0.0,36.0,34.0
0.0,35.0,34.0
2.0,36.0,35.0
0.0,35.0,34.0
0.0,35.0,34.0
0.0,36.0,34.0
1.0,37.0,35.0
1.0,36.0,34.0
0.0,38.0,33.0
0.0,38.0,31.0
0.0,39.0,33.0
0.0,41.0,34.0
0.0,41.0,34.0
0.0,39.0,32.0
0.0,40.0,33.0
0.0,39.0,32.0
0.0,39.0,32.0
0.0,39.0,34.0
0.0,38.0,33.0
0.0,38.0,33.0
2.0,40.0,36.0
2.0,39.0,35.0
0.0,37.0,32.0
0.0,36.0,32.0
0.0,35.0,31.0
0.0,37.0,32.0
1.0,40.0,34.0
1.0,42.0,33.0
1.0,44.0,34.0
1.0,42.0,34.0
1.0,42.0,34.0
0.0,42.0,34.0
1.0,43.0,36.0
3.0,45.0,38.0
1.0,43.0,36.0
0.0,39.0,34.0
3.0,39.0,39.0
3.0,42.0,39.0
1.0,46.0,38.0
1.0,48.0,38.0
1.0,49.0,37.0
1.0,49.0,36.0
1.0,49.0,36.0
2.0,48.0,35.0
2.0,48.0,35.0
3.0,48.0,36.0
1.0,47.0,35.0
1.0,45.0,33.0
2.0,44.0,32.0
2.0,44.0,33.0
3.0,44.0,34.0
0.0,41.0,31.0
0.0,40.0,31.0
0.0,39.0,31.0
2.0,40.0,32.0
1.0,39.0,33.0
1.0,39.0,33.0
1.0,41.0,32.0
0.0,40.0,32.0
1.0,41.0,34.0
0.0,40.0,34.0
0.0,37.0,32.0
1.0,38.0,33.0
1.0,38.0,34.0
2.0,39.0,36.0
0.0,37.0,34.0
0.0,39.0,34.0
0.0,38.0,34.0
0.0,39.0,35.0
2.0,40.0,36.0
1.0,39.0,34.0
1.0,39.0,34.0
0.0,40.0,34.0
0.0,40.0,34.0
1.0,41.0,36.0
3.0,45.0,36.0
2.0,43.0,35.0
1.0,43.0,34.0
1.0,44.0,33.0
0.0,43.0,32.0
0.0,44.0,33.0
0.0,44.0,34.0
1.0,45.0,35.0
0.0,43.0,33.0
0.0,42.0,32.0
0.0,41.0,33.0
1.0,43.0,34.0
1.0,43.0,34.0
2.0,43.0,35.0
1.0,43.0,34.0
0.0,41.0,32.0
0.0,43.0,34.0
2.0,44.0,35.0
1.0,46.0,35.0
1.0,50.0,35.0
2.0,51.0,36.0
1.0,51.0,37.0
0.0,50.0,36.0
2.0,52.0,38.0
1.0,49.0,37.0
2.0,47.0,40.0
1.0,44.0,37.0
0.0,39.0,35.0
3.0,37.0,38.0
3.0,41.0,39.0
3.0,47.0,37.0
3.0,51.0,37.0
2.0,55.0,37.0
3.0,58.0,37.0
1.0,59.0,37.0
0.0,58.0,36.0
0.0,55.0,34.0
0.0,53.0,34.0
0.0,51.0,34.0
2.0,53.0,34.0
2.0,51.0,32.0
1.0,49.0,31.0
0.0,47.0,31.0
1.0,48.0,32.0
1.0,46.0,33.0
1.0,45.0,32.0
1.0,43.0,33.0
2.0,42.0,33.0
1.0,43.0,33.0
1.0,44.0,34.0
1.0,44.0,34.0
1.0,44.0,34.0
1.0,42.0,34.0
1.0,42.0,34.0
0.0,39.0,33.0
